s,a,r,sp
I5743_14,w,0.0,I5743_13
I5743_14,b,25.31645569620253,travel
I5743_14,w,0.0,I5743_13
I5743_14,b,25.31645569620253,travel
I5743_15,w,0.0,I5743_14
I5743_15,b,25.31645569620253,travel
I5743_15,w,0.0,I5743_14
I5743_15,b,25.31645569620253,travel
I5743_16,w,0.0,I5743_15
I5743_16,b,25.31645569620253,travel
I5743_16,w,0.0,I5743_15
I5743_16,b,25.31645569620253,travel
I5743_17,w,0.0,I5743_16
I5743_17,b,25.31645569620253,travel
I5743_17,w,0.0,I5743_16
I5743_17,b,25.31645569620253,travel
I5743_8,w,0.0,I5743_7
I5743_8,b,24.437927663734115,travel
I5743_8,w,0.0,I5743_7
I5743_8,b,24.437927663734115,travel
I5743_9,w,0.0,I5743_8
I5743_9,b,24.437927663734115,travel
I5743_9,w,0.0,I5743_8
I5743_9,b,24.437927663734115,travel
I5743_10,w,0.0,I5743_9
I5743_10,b,24.437927663734115,travel
I5743_10,w,0.0,I5743_9
I5743_10,b,24.437927663734115,travel
I5743_11,w,0.0,I5743_10
I5743_11,b,24.437927663734115,travel
I5743_11,w,0.0,I5743_10
I5743_11,b,24.437927663734115,travel
I5743_12,w,0.0,I5743_11
I5743_12,b,24.437927663734115,travel
I5743_13,w,0.0,I5743_12
I5743_13,b,24.437927663734115,travel
I51569_14,w,0.0,I51569_13
I51569_14,b,24.437927663734115,travel
I51569_15,w,0.0,I51569_14
I51569_15,b,24.437927663734115,travel
I51569_16,w,0.0,I51569_15
I51569_16,b,24.437927663734115,travel
I51569_17,w,0.0,I51569_16
I51569_17,b,24.437927663734115,travel
I5745_17,w,0.0,I5745_16
I5745_17,b,24.437927663734115,travel
I51569_18,w,0.0,I51569_17
I51569_18,b,24.437927663734115,travel
I5745_18,w,0.0,I5745_17
I5745_18,b,24.437927663734115,travel
I5743_18,w,0.0,I5743_17
I5743_18,b,24.437927663734115,travel
I5743_19,w,0.0,I5743_18
I5743_19,b,24.437927663734115,travel
I5743_19,w,0.0,I5743_18
I5743_19,b,24.437927663734115,travel
I5743_20,w,0.0,I5743_19
I5743_20,b,24.437927663734115,travel
I5743_21,w,0.0,I5743_20
I5743_21,b,24.437927663734115,travel
I51569_21,w,0.0,I51569_20
I51569_21,b,24.437927663734115,travel
I5743_21,w,0.0,I5743_20
I5743_21,b,24.437927663734115,travel
I51569_22,w,0.0,I51569_21
I51569_22,b,24.437927663734115,travel
I51569_23,w,0.0,I51569_22
I51569_23,b,24.437927663734115,travel
I5743_24,w,0.0,I5743_23
I5743_24,b,24.437927663734115,travel
I5743_24,w,0.0,I5743_23
I5743_24,b,24.437927663734115,travel
I5745_25,w,0.0,I5745_24
I5745_25,b,24.437927663734115,travel
I5743_26,w,0.0,I5743_25
I5743_26,b,24.437927663734115,travel
I5743_26,w,0.0,I5743_25
I5743_26,b,24.437927663734115,travel
UK929_15,w,0.0,UK929_14
UK929_15,b,23.860653781913623,travel
UK959_15,w,0.0,UK959_14
UK959_15,b,23.860653781913623,travel
UK959_16,w,0.0,UK959_15
UK959_16,b,23.860653781913623,travel
UK959_17,w,0.0,UK959_16
UK959_17,b,23.860653781913623,travel
6E2716_4,w,0.0,6E2716_3
6E2716_4,b,23.815194093831863,travel
6E5218_4,w,0.0,6E5218_3
6E5218_4,b,23.815194093831863,travel
6E2112_4,w,0.0,6E2112_3
6E2112_4,b,23.815194093831863,travel
6E2716_5,w,0.0,6E2716_4
6E2716_5,b,23.815194093831863,travel
6E5218_5,w,0.0,6E5218_4
6E5218_5,b,23.815194093831863,travel
6E6814_5,w,0.0,6E6814_4
6E6814_5,b,23.815194093831863,travel
6E2112_5,w,0.0,6E2112_4
6E2112_5,b,23.815194093831863,travel
6E2716_6,w,0.0,6E2716_5
6E2716_6,b,23.815194093831863,travel
6E5218_6,w,0.0,6E5218_5
6E5218_6,b,23.815194093831863,travel
6E6814_6,w,0.0,6E6814_5
6E6814_6,b,23.815194093831863,travel
6E2112_6,w,0.0,6E2112_5
6E2112_6,b,23.815194093831863,travel
6E2017_7,w,0.0,6E2017_6
6E2017_7,b,23.815194093831863,travel
6E2176_7,w,0.0,6E2176_6
6E2176_7,b,23.815194093831863,travel
6E2016_7,w,0.0,6E2016_6
6E2016_7,b,23.815194093831863,travel
6E5318_7,w,0.0,6E5318_6
6E5318_7,b,23.815194093831863,travel
6E864_7,w,0.0,6E864_6
6E864_7,b,23.815194093831863,travel
6E2084_7,w,0.0,6E2084_6
6E2084_7,b,23.815194093831863,travel
6E2114_7,w,0.0,6E2114_6
6E2114_7,b,23.815194093831863,travel
6E2505_7,w,0.0,6E2505_6
6E2505_7,b,23.815194093831863,travel
6E2138_7,w,0.0,6E2138_6
6E2138_7,b,23.815194093831863,travel
6E2519_7,w,0.0,6E2519_6
6E2519_7,b,23.815194093831863,travel
6E2328_7,w,0.0,6E2328_6
6E2328_7,b,23.815194093831863,travel
6E2716_8,w,0.0,6E2716_7
6E2716_8,b,23.815194093831863,travel
6E5218_8,w,0.0,6E5218_7
6E5218_8,b,23.815194093831863,travel
6E2176_8,w,0.0,6E2176_7
6E2176_8,b,23.815194093831863,travel
6E2016_8,w,0.0,6E2016_7
6E2016_8,b,23.815194093831863,travel
6E5318_8,w,0.0,6E5318_7
6E5318_8,b,23.815194093831863,travel
6E2505_8,w,0.0,6E2505_7
6E2505_8,b,23.815194093831863,travel
6E2519_8,w,0.0,6E2519_7
6E2519_8,b,23.815194093831863,travel
6E6814_8,w,0.0,6E6814_7
6E6814_8,b,23.815194093831863,travel
6E2112_8,w,0.0,6E2112_7
6E2112_8,b,23.815194093831863,travel
6E2328_8,w,0.0,6E2328_7
6E2328_8,b,23.815194093831863,travel
6E2075_9,w,0.0,6E2075_8
6E2075_9,b,23.815194093831863,travel
6E2017_9,w,0.0,6E2017_8
6E2017_9,b,23.815194093831863,travel
6E2716_9,w,0.0,6E2716_8
6E2716_9,b,23.815194093831863,travel
6E5218_9,w,0.0,6E5218_8
6E5218_9,b,23.815194093831863,travel
6E2176_9,w,0.0,6E2176_8
6E2176_9,b,23.815194093831863,travel
6E2016_9,w,0.0,6E2016_8
6E2016_9,b,23.815194093831863,travel
6E5318_9,w,0.0,6E5318_8
6E5318_9,b,23.815194093831863,travel
6E864_9,w,0.0,6E864_8
6E864_9,b,23.815194093831863,travel
6E2084_9,w,0.0,6E2084_8
6E2084_9,b,23.815194093831863,travel
6E2114_9,w,0.0,6E2114_8
6E2114_9,b,23.815194093831863,travel
6E2505_9,w,0.0,6E2505_8
6E2505_9,b,23.815194093831863,travel
6E2138_9,w,0.0,6E2138_8
6E2138_9,b,23.815194093831863,travel
6E2519_9,w,0.0,6E2519_8
6E2519_9,b,23.815194093831863,travel
6E6814_9,w,0.0,6E6814_8
6E6814_9,b,23.815194093831863,travel
6E2526_9,w,0.0,6E2526_8
6E2526_9,b,23.815194093831863,travel
6E2112_9,w,0.0,6E2112_8
6E2112_9,b,23.815194093831863,travel
6E2328_9,w,0.0,6E2328_8
6E2328_9,b,23.815194093831863,travel
6E2075_10,w,0.0,6E2075_9
6E2075_10,b,23.815194093831863,travel
6E2017_10,w,0.0,6E2017_9
6E2017_10,b,23.815194093831863,travel
6E2716_10,w,0.0,6E2716_9
6E2716_10,b,23.815194093831863,travel
6E5218_10,w,0.0,6E5218_9
6E5218_10,b,23.815194093831863,travel
6E2176_10,w,0.0,6E2176_9
6E2176_10,b,23.815194093831863,travel
6E5318_10,w,0.0,6E5318_9
6E5318_10,b,23.815194093831863,travel
6E864_10,w,0.0,6E864_9
6E864_10,b,23.815194093831863,travel
6E2084_10,w,0.0,6E2084_9
6E2084_10,b,23.815194093831863,travel
6E2114_10,w,0.0,6E2114_9
6E2114_10,b,23.815194093831863,travel
6E2505_10,w,0.0,6E2505_9
6E2505_10,b,23.815194093831863,travel
6E2138_10,w,0.0,6E2138_9
6E2138_10,b,23.815194093831863,travel
6E2519_10,w,0.0,6E2519_9
6E2519_10,b,23.815194093831863,travel
6E6814_10,w,0.0,6E6814_9
6E6814_10,b,23.815194093831863,travel
6E2526_10,w,0.0,6E2526_9
6E2526_10,b,23.815194093831863,travel
6E2112_10,w,0.0,6E2112_9
6E2112_10,b,23.815194093831863,travel
6E2328_10,w,0.0,6E2328_9
6E2328_10,b,23.815194093831863,travel
6E2075_11,w,0.0,6E2075_10
6E2075_11,b,23.815194093831863,travel
6E2716_11,w,0.0,6E2716_10
6E2716_11,b,23.815194093831863,travel
6E5218_11,w,0.0,6E5218_10
6E5218_11,b,23.815194093831863,travel
6E2176_11,w,0.0,6E2176_10
6E2176_11,b,23.815194093831863,travel
6E2016_11,w,0.0,6E2016_10
6E2016_11,b,23.815194093831863,travel
6E2505_11,w,0.0,6E2505_10
6E2505_11,b,23.815194093831863,travel
6E2138_11,w,0.0,6E2138_10
6E2138_11,b,23.815194093831863,travel
6E6814_11,w,0.0,6E6814_10
6E6814_11,b,23.815194093831863,travel
6E2526_11,w,0.0,6E2526_10
6E2526_11,b,23.815194093831863,travel
6E2112_11,w,0.0,6E2112_10
6E2112_11,b,23.815194093831863,travel
6E2016_12,w,0.0,6E2016_11
6E2016_12,b,23.815194093831863,travel
6E5318_12,w,0.0,6E5318_11
6E5318_12,b,23.815194093831863,travel
6E2505_12,w,0.0,6E2505_11
6E2505_12,b,23.815194093831863,travel
6E2328_12,w,0.0,6E2328_11
6E2328_12,b,23.815194093831863,travel
6E2519_12,w,0.0,6E2519_11
6E2519_12,b,23.815194093831863,travel
6E6814_13,w,0.0,6E6814_12
6E6814_13,b,23.815194093831863,travel
6E5112_13,w,0.0,6E5112_12
6E5112_13,b,23.815194093831863,travel
6E2075_13,w,0.0,6E2075_12
6E2075_13,b,23.815194093831863,travel
6E5218_13,w,0.0,6E5218_12
6E5218_13,b,23.815194093831863,travel
6E2519_14,w,0.0,6E2519_13
6E2519_14,b,23.815194093831863,travel
6E2176_14,w,0.0,6E2176_13
6E2176_14,b,23.815194093831863,travel
QP1128_14,w,0.0,QP1128_13
QP1128_14,b,23.815194093831863,travel
6E2016_14,w,0.0,6E2016_13
6E2016_14,b,23.815194093831863,travel
6E2009_15,w,0.0,6E2009_14
6E2009_15,b,23.815194093831863,travel
6E2112_15,w,0.0,6E2112_14
6E2112_15,b,23.815194093831863,travel
6E5112_15,w,0.0,6E5112_14
6E5112_15,b,23.815194093831863,travel
6E2017_15,w,0.0,6E2017_14
6E2017_15,b,23.815194093831863,travel
6E2075_15,w,0.0,6E2075_14
6E2075_15,b,23.815194093831863,travel
6E2016_15,w,0.0,6E2016_14
6E2016_15,b,23.815194093831863,travel
6E5218_15,w,0.0,6E5218_14
6E5218_15,b,23.815194093831863,travel
6E2009_16,w,0.0,6E2009_15
6E2009_16,b,23.815194093831863,travel
6E6814_16,w,0.0,6E6814_15
6E6814_16,b,23.815194093831863,travel
6E5112_16,w,0.0,6E5112_15
6E5112_16,b,23.815194093831863,travel
6E2114_16,w,0.0,6E2114_15
6E2114_16,b,23.815194093831863,travel
6E2519_16,w,0.0,6E2519_15
6E2519_16,b,23.815194093831863,travel
QP1128_16,w,0.0,QP1128_15
QP1128_16,b,23.815194093831863,travel
6E5218_16,w,0.0,6E5218_15
6E5218_16,b,23.815194093831863,travel
6E2112_17,w,0.0,6E2112_16
6E2112_17,b,23.815194093831863,travel
6E2084_17,w,0.0,6E2084_16
6E2084_17,b,23.815194093831863,travel
QP1128_17,w,0.0,QP1128_16
QP1128_17,b,23.815194093831863,travel
6E5318_17,w,0.0,6E5318_16
6E5318_17,b,23.815194093831863,travel
6E2016_17,w,0.0,6E2016_16
6E2016_17,b,23.815194093831863,travel
6E5218_17,w,0.0,6E5218_16
6E5218_17,b,23.815194093831863,travel
6E6083_17,w,0.0,6E6083_16
6E6083_17,b,23.815194093831863,travel
6E2009_18,w,0.0,6E2009_17
6E2009_18,b,23.815194093831863,travel
6E6814_18,w,0.0,6E6814_17
6E6814_18,b,23.815194093831863,travel
6E6092_18,w,0.0,6E6092_17
6E6092_18,b,23.815194093831863,travel
6E2009_19,w,0.0,6E2009_18
6E2009_19,b,23.815194093831863,travel
6E6814_19,w,0.0,6E6814_18
6E6814_19,b,23.815194093831863,travel
6E5112_19,w,0.0,6E5112_18
6E5112_19,b,23.815194093831863,travel
6E2084_19,w,0.0,6E2084_18
6E2084_19,b,23.815194093831863,travel
6E2519_19,w,0.0,6E2519_18
6E2519_19,b,23.815194093831863,travel
6E5318_19,w,0.0,6E5318_18
6E5318_19,b,23.815194093831863,travel
6E2016_19,w,0.0,6E2016_18
6E2016_19,b,23.815194093831863,travel
6E2009_20,w,0.0,6E2009_19
6E2009_20,b,23.815194093831863,travel
6E6814_20,w,0.0,6E6814_19
6E6814_20,b,23.815194093831863,travel
6E5112_20,w,0.0,6E5112_19
6E5112_20,b,23.815194093831863,travel
6E5218_20,w,0.0,6E5218_19
6E5218_20,b,23.815194093831863,travel
6E2084_21,w,0.0,6E2084_20
6E2084_21,b,23.815194093831863,travel
6E6083_21,w,0.0,6E6083_20
6E6083_21,b,23.815194093831863,travel
6E2009_22,w,0.0,6E2009_21
6E2009_22,b,23.815194093831863,travel
6E6814_22,w,0.0,6E6814_21
6E6814_22,b,23.815194093831863,travel
6E5112_22,w,0.0,6E5112_21
6E5112_22,b,23.815194093831863,travel
6E2084_22,w,0.0,6E2084_21
6E2084_22,b,23.815194093831863,travel
6E864_22,w,0.0,6E864_21
6E864_22,b,23.815194093831863,travel
6E2075_22,w,0.0,6E2075_21
6E2075_22,b,23.815194093831863,travel
6E5218_22,w,0.0,6E5218_21
6E5218_22,b,23.815194093831863,travel
6E6083_22,w,0.0,6E6083_21
6E6083_22,b,23.815194093831863,travel
6E2009_23,w,0.0,6E2009_22
6E2009_23,b,23.815194093831863,travel
6E2114_23,w,0.0,6E2114_22
6E2114_23,b,23.815194093831863,travel
