s,a,r,sp
6E182_0,b,0.0,travel
6E182_0,w,0.0,notravel
6E182_1,b,16.577787976807105,travel
6E182_1,w,0.0,6E182_0
6E182_2,b,0.0,6E182_1
6E182_2,w,0.0,6E182_1
6E182_3,b,0.0,6E182_2
6E182_3,w,0.0,6E182_2
6E182_4,b,0.0,6E182_3
6E182_4,w,0.0,6E182_3
6E182_5,b,0.0,6E182_4
6E182_5,w,0.0,6E182_4
6E182_6,b,0.0,6E182_5
6E182_6,w,0.0,6E182_5
6E182_7,b,0.0,6E182_6
6E182_7,w,0.0,6E182_6
6E182_8,b,19.603920984865233,travel
6E182_8,w,0.0,6E182_7
6E356_0,b,7.213426390520348,travel
6E356_1,b,12.82270959250031,travel
6E356_1,w,0.0,6E356_0
6E356_10,b,21.80443090116103,travel
6E356_10,w,0.0,6E356_9
6E356_11,b,21.80443090116103,travel
6E356_11,w,0.0,6E356_10
6E356_12,b,15.825503100652648,travel
6E356_12,w,0.0,6E356_11
6E356_13,b,17.295053614666205,travel
6E356_13,w,0.0,6E356_12
6E356_14,b,14.712373105781962,travel
6E356_14,w,0.0,6E356_13
6E356_15,b,15.54001554001554,travel
6E356_15,w,0.0,6E356_14
6E356_16,b,17.590149516270888,travel
6E356_16,w,0.0,6E356_15
6E356_17,b,18.23819077147547,travel
6E356_17,w,0.0,6E356_16
6E356_18,b,14.712373105781962,travel
6E356_18,w,0.0,6E356_17
6E356_19,b,15.54001554001554,travel
6E356_19,w,0.0,6E356_18
6E356_2,b,13.00294295547055,travel
6E356_2,w,0.0,6E356_1
6E356_20,b,15.304560759106213,travel
6E356_20,w,0.0,6E356_19
6E356_21,b,18.115942028985508,travel
6E356_21,w,0.0,6E356_20
6E356_22,b,18.115942028985508,travel
6E356_22,w,0.0,6E356_21
6E356_23,b,17.13796058269066,travel
6E356_23,w,0.0,6E356_22
6E356_24,b,12.825445684237527,travel
6E356_24,w,0.0,6E356_23
6E356_25,b,17.40341106856944,travel
6E356_25,w,0.0,6E356_24
6E356_26,b,18.412815319462347,travel
6E356_26,w,0.0,6E356_25
6E356_27,b,15.88057805304113,travel
6E356_27,w,0.0,6E356_26
6E356_28,b,18.6219739292365,travel
6E356_28,w,0.0,6E356_27
6E356_29,b,18.6219739292365,travel
6E356_29,w,0.0,6E356_28
6E356_3,b,0.0,6E356_2
6E356_3,w,0.0,6E356_2
6E356_30,b,18.57700167193015,travel
6E356_30,w,0.0,6E356_29
6E356_31,b,17.13796058269066,travel
6E356_31,w,0.0,6E356_30
6E356_32,b,17.590149516270888,travel
6E356_32,w,0.0,6E356_31
6E356_33,b,18.6219739292365,travel
6E356_33,w,0.0,6E356_32
6E356_34,b,16.572754391779913,travel
6E356_34,w,0.0,6E356_33
6E356_35,b,17.13796058269066,travel
6E356_35,w,0.0,6E356_34
6E356_36,b,19.34984520123839,travel
6E356_36,w,0.0,6E356_35
6E356_37,b,17.590149516270888,travel
6E356_37,w,0.0,6E356_36
6E356_38,b,18.23819077147547,travel
6E356_38,w,0.0,6E356_37
6E356_39,b,17.711654268508678,travel
6E356_39,w,0.0,6E356_38
6E356_4,b,13.00294295547055,travel
6E356_4,w,0.0,6E356_3
6E356_40,b,17.295053614666205,travel
6E356_40,w,0.0,6E356_39
6E356_41,b,16.40150893882237,travel
6E356_41,w,0.0,6E356_40
6E356_42,b,17.755681818181817,travel
6E356_42,w,0.0,6E356_41
6E356_43,b,14.932059130954158,travel
6E356_43,w,0.0,6E356_42
6E356_44,b,14.932059130954158,travel
6E356_44,w,0.0,6E356_43
6E356_45,b,14.932059130954158,travel
6E356_45,w,0.0,6E356_44
6E356_46,b,14.932059130954158,travel
6E356_46,w,0.0,6E356_45
6E356_47,b,17.755681818181817,travel
6E356_47,w,0.0,6E356_46
6E356_48,b,16.40150893882237,travel
6E356_48,w,0.0,6E356_47
6E356_49,b,15.88057805304113,travel
6E356_49,w,0.0,6E356_48
6E356_5,b,0.0,6E356_4
6E356_5,w,0.0,6E356_4
6E356_6,b,19.389796697690706,travel
6E356_6,w,0.0,6E356_5
6E356_7,b,17.6294555070722,travel
6E356_7,w,0.0,6E356_6
6E356_8,b,20.196915697818095,travel
6E356_8,w,0.0,6E356_7
6E356_9,b,16.44040922795527,travel
6E356_9,w,0.0,6E356_8
6E382_0,b,0.0,travel
6E382_0,w,0.0,notravel
6E382_1,b,0.0,6E382_0
6E382_1,w,0.0,6E382_0
6E382_10,b,40.83299305839118,travel
6E382_10,w,0.0,6E382_9
6E382_11,b,40.83299305839118,travel
6E382_11,w,0.0,6E382_10
6E382_2,b,40.83299305839118,travel
6E382_2,w,0.0,6E382_1
6E382_3,b,0.0,6E382_2
6E382_3,w,0.0,6E382_2
6E382_4,b,40.83299305839118,travel
6E382_4,w,0.0,6E382_3
6E382_5,b,40.83299305839118,travel
6E382_5,w,0.0,6E382_4
6E382_6,b,35.26093088857546,travel
6E382_6,w,0.0,6E382_5
6E382_7,b,40.83299305839118,travel
6E382_7,w,0.0,6E382_6
6E382_8,b,0.0,6E382_7
6E382_8,w,0.0,6E382_7
6E382_9,b,40.83299305839118,travel
6E382_9,w,0.0,6E382_8
6E392_0,b,0.0,travel
6E392_0,w,0.0,notravel
6E392_1,b,0.0,6E392_0
6E392_1,w,0.0,6E392_0
6E392_10,b,0.0,6E392_9
6E392_10,w,0.0,6E392_9
6E392_11,b,0.0,6E392_10
6E392_11,w,0.0,6E392_10
6E392_12,b,40.83299305839118,travel
6E392_12,w,0.0,6E392_11
6E392_2,b,0.0,6E392_1
6E392_2,w,0.0,6E392_1
6E392_3,b,0.0,6E392_2
6E392_3,w,0.0,6E392_2
6E392_4,b,0.0,6E392_3
6E392_4,w,0.0,6E392_3
6E392_5,b,0.0,6E392_4
6E392_5,w,0.0,6E392_4
6E392_6,b,0.0,6E392_5
6E392_6,w,0.0,6E392_5
6E392_7,b,0.0,6E392_6
6E392_7,w,0.0,6E392_6
6E392_8,b,0.0,6E392_7
6E392_8,w,0.0,6E392_7
6E392_9,b,0.0,6E392_8
6E392_9,w,0.0,6E392_8
6E478_0,b,13.244282479636443,travel
6E478_1,b,7.73874013310633,travel
6E478_1,w,0.0,6E478_0
6E478_10,b,12.709710218607016,travel
6E478_10,w,0.0,6E478_9
6E478_11,b,15.158405335758678,travel
6E478_11,w,0.0,6E478_10
6E478_12,b,26.20545073375262,travel
6E478_12,w,0.0,6E478_11
6E478_13,b,20.977554017201594,travel
6E478_13,w,0.0,6E478_12
6E478_14,b,15.158405335758678,travel
6E478_14,w,0.0,6E478_13
6E478_15,b,15.158405335758678,travel
6E478_15,w,0.0,6E478_14
6E478_16,b,21.427040925648168,travel
6E478_16,w,0.0,6E478_15
6E478_17,b,16.212710765239947,travel
6E478_17,w,0.0,6E478_16
6E478_18,b,23.99232245681382,travel
6E478_18,w,0.0,6E478_17
6E478_19,b,11.113580795732386,travel
6E478_19,w,0.0,6E478_18
6E478_2,b,7.471626790534997,travel
6E478_2,w,0.0,6E478_1
6E478_20,b,17.041581458759374,travel
6E478_20,w,0.0,6E478_19
6E478_21,b,26.20545073375262,travel
6E478_21,w,0.0,6E478_20
6E478_22,b,26.20545073375262,travel
6E478_22,w,0.0,6E478_21
6E478_23,b,20.977554017201594,travel
6E478_23,w,0.0,6E478_22
6E478_24,b,26.20545073375262,travel
6E478_24,w,0.0,6E478_23
6E478_25,b,24.894199651481205,travel
6E478_25,w,0.0,6E478_24
6E478_26,b,26.20545073375262,travel
6E478_26,w,0.0,6E478_25
6E478_27,b,23.99232245681382,travel
6E478_27,w,0.0,6E478_26
6E478_28,b,23.99232245681382,travel
6E478_28,w,0.0,6E478_27
6E478_29,b,26.910656620021527,travel
6E478_29,w,0.0,6E478_28
6E478_3,b,8.87919401704034,travel
6E478_3,w,0.0,6E478_2
6E478_30,b,20.546537908362442,travel
6E478_30,w,0.0,6E478_29
6E478_31,b,20.546537908362442,travel
6E478_31,w,0.0,6E478_30
6E478_32,b,20.77706212341575,travel
6E478_32,w,0.0,6E478_31
6E478_33,b,20.149103364900263,travel
6E478_33,w,0.0,6E478_32
6E478_34,b,17.975912277548087,travel
6E478_34,w,0.0,6E478_33
6E478_35,b,20.77706212341575,travel
6E478_35,w,0.0,6E478_34
6E478_36,b,21.682567215958368,travel
6E478_36,w,0.0,6E478_35
6E478_37,b,20.149103364900263,travel
6E478_37,w,0.0,6E478_36
6E478_38,b,21.682567215958368,travel
6E478_38,w,0.0,6E478_37
6E478_39,b,22.163120567375888,travel
6E478_39,w,0.0,6E478_38
6E478_4,b,7.471626790534997,travel
6E478_4,w,0.0,6E478_3
6E478_40,b,22.163120567375888,travel
6E478_40,w,0.0,6E478_39
6E478_41,b,15.888147442008261,travel
6E478_41,w,0.0,6E478_40
6E478_42,b,18.304960644334614,travel
6E478_42,w,0.0,6E478_41
6E478_43,b,16.49348507339601,travel
6E478_43,w,0.0,6E478_42
6E478_44,b,17.658484901995408,travel
6E478_44,w,0.0,6E478_43
6E478_45,b,15.008254539996999,travel
6E478_45,w,0.0,6E478_44
6E478_46,b,16.49348507339601,travel
6E478_46,w,0.0,6E478_45
6E478_47,b,18.304960644334614,travel
6E478_47,w,0.0,6E478_46
6E478_48,b,17.975912277548087,travel
6E478_48,w,0.0,6E478_47
6E478_49,b,16.49348507339601,travel
6E478_49,w,0.0,6E478_48
6E478_5,b,15.629884338855893,travel
6E478_5,w,0.0,6E478_4
6E478_6,b,11.113580795732386,travel
6E478_6,w,0.0,6E478_5
6E478_7,b,8.112273870365863,travel
6E478_7,w,0.0,6E478_6
6E478_8,b,10.344470880314471,travel
6E478_8,w,0.0,6E478_7
6E478_9,b,11.5697070075096,travel
6E478_9,w,0.0,6E478_8
6E484_0,b,27.37476047084588,travel
6E484_1,b,38.431975403535745,travel
6E484_1,w,0.0,6E484_0
6E484_10,b,40.83299305839118,travel
6E484_10,w,0.0,6E484_9
6E484_11,b,40.83299305839118,travel
6E484_11,w,0.0,6E484_10
6E484_12,b,40.83299305839118,travel
6E484_12,w,0.0,6E484_11
6E484_13,b,40.83299305839118,travel
6E484_13,w,0.0,6E484_12
6E484_14,b,40.83299305839118,travel
6E484_14,w,0.0,6E484_13
6E484_15,b,43.38394793926247,travel
6E484_15,w,0.0,6E484_14
6E484_16,b,43.38394793926247,travel
6E484_16,w,0.0,6E484_15
6E484_17,b,43.38394793926247,travel
6E484_17,w,0.0,6E484_16
6E484_18,b,40.83299305839118,travel
6E484_18,w,0.0,6E484_17
6E484_19,b,29.779630732578916,travel
6E484_19,w,0.0,6E484_18
6E484_2,b,40.83299305839118,travel
6E484_2,w,0.0,6E484_1
6E484_20,b,40.83299305839118,travel
6E484_20,w,0.0,6E484_19
6E484_21,b,38.431975403535745,travel
6E484_21,w,0.0,6E484_20
6E484_22,b,43.38394793926247,travel
6E484_22,w,0.0,6E484_21
6E484_23,b,38.431975403535745,travel
6E484_23,w,0.0,6E484_22
6E484_24,b,43.38394793926247,travel
6E484_24,w,0.0,6E484_23
6E484_25,b,38.431975403535745,travel
6E484_25,w,0.0,6E484_24
6E484_26,b,43.38394793926247,travel
6E484_26,w,0.0,6E484_25
6E484_27,b,43.38394793926247,travel
6E484_27,w,0.0,6E484_26
6E484_28,b,43.38394793926247,travel
6E484_28,w,0.0,6E484_27
6E484_29,b,43.38394793926247,travel
6E484_29,w,0.0,6E484_28
6E484_3,b,40.83299305839118,travel
6E484_3,w,0.0,6E484_2
