s,a,r,sp
6E123_0,b,7.9239302694136295,travel
6E123_1,b,9.229349330872173,travel
6E123_1,w,0.0,6E123_0
6E123_10,b,13.47164219318335,travel
6E123_10,w,0.0,6E123_9
6E123_11,b,13.966480446927374,travel
6E123_11,w,0.0,6E123_10
6E123_12,b,13.47164219318335,travel
6E123_12,w,0.0,6E123_11
6E123_2,b,10.799136069114471,travel
6E123_2,w,0.0,6E123_1
6E123_3,b,13.012361743656474,travel
6E123_3,w,0.0,6E123_2
6E123_4,b,11.312217194570136,travel
6E123_4,w,0.0,6E123_3
6E123_5,b,11.876484560570072,travel
6E123_5,w,0.0,6E123_4
6E123_6,b,8.340283569641368,travel
6E123_6,w,0.0,6E123_5
6E123_7,b,11.312217194570136,travel
6E123_7,w,0.0,6E123_6
6E123_8,b,11.876484560570072,travel
6E123_8,w,0.0,6E123_7
6E123_9,b,11.312217194570136,travel
6E123_9,w,0.0,6E123_8
6E125_0,b,0.0,travel
6E125_0,w,0.0,notravel
6E125_1,b,0.0,6E125_0
6E125_1,w,0.0,6E125_0
6E125_2,b,0.0,6E125_1
6E125_2,w,0.0,6E125_1
6E125_3,b,0.0,6E125_2
6E125_3,w,0.0,6E125_2
6E125_4,b,0.0,6E125_3
6E125_4,w,0.0,6E125_3
6E125_5,b,0.0,6E125_4
6E125_5,w,0.0,6E125_4
6E125_6,b,14.098406880022557,travel
6E125_6,w,0.0,6E125_5
6E153_0,b,10.311404413281089,travel
6E153_1,b,0.0,6E153_0
6E153_1,w,0.0,6E153_0
6E153_10,b,19.331142470520007,travel
6E153_10,w,0.0,6E153_9
6E153_11,b,20.521239482864765,travel
6E153_11,w,0.0,6E153_10
6E153_12,b,19.07304978065993,travel
6E153_12,w,0.0,6E153_11
6E153_13,b,16.196443589554267,travel
6E153_13,w,0.0,6E153_12
6E153_14,b,21.224775620905195,travel
6E153_14,w,0.0,6E153_13
6E153_15,b,20.911752404851526,travel
6E153_15,w,0.0,6E153_14
6E153_16,b,20.911752404851526,travel
6E153_16,w,0.0,6E153_15
6E153_17,b,20.716495943858146,travel
6E153_17,w,0.0,6E153_16
6E153_18,b,18.468104967958972,travel
6E153_18,w,0.0,6E153_17
6E153_19,b,17.0038202002782,travel
6E153_19,w,0.0,6E153_18
6E153_2,b,7.947230390209012,travel
6E153_2,w,0.0,6E153_1
6E153_20,b,17.0038202002782,travel
6E153_20,w,0.0,6E153_19
6E153_21,b,16.57908085674562,travel
6E153_21,w,0.0,6E153_20
6E153_22,b,17.0038202002782,travel
6E153_22,w,0.0,6E153_21
6E153_23,b,17.155601303825698,travel
6E153_23,w,0.0,6E153_22
6E153_24,b,16.1671559471887,travel
6E153_24,w,0.0,6E153_23
6E153_25,b,17.0038202002782,travel
6E153_25,w,0.0,6E153_24
6E153_26,b,16.31587534671235,travel
6E153_26,w,0.0,6E153_25
6E153_27,b,13.45592168996978,travel
6E153_27,w,0.0,6E153_26
6E153_28,b,15.792691070821437,travel
6E153_28,w,0.0,6E153_27
6E153_29,b,16.178470236718383,travel
6E153_29,w,0.0,6E153_28
6E153_3,b,0.0,6E153_2
6E153_3,w,0.0,6E153_2
6E153_30,b,14.49216071815368,travel
6E153_30,w,0.0,6E153_29
6E153_31,b,17.0038202002782,travel
6E153_31,w,0.0,6E153_30
6E153_32,b,16.57908085674562,travel
6E153_32,w,0.0,6E153_31
6E153_33,b,15.792691070821437,travel
6E153_33,w,0.0,6E153_32
6E153_34,b,16.178470236718383,travel
6E153_34,w,0.0,6E153_33
6E153_35,b,16.57908085674562,travel
6E153_35,w,0.0,6E153_34
6E153_36,b,17.0038202002782,travel
6E153_36,w,0.0,6E153_35
6E153_37,b,16.318937050736196,travel
6E153_37,w,0.0,6E153_36
