s,a,r,sp
6E153_28,w,0.0,6E153_27
6E153_28,w,0.0,6E153_27
6E153_28,b,16.31587534671235,travel
6E153_28,b,15.269506794930523,travel
6E153_27,w,0.0,6E153_26
6E153_27,w,0.0,6E153_26
6E153_27,b,14.025245441795231,travel
6E153_27,b,12.88659793814433,travel
6E153_26,w,0.0,6E153_25
6E153_26,w,0.0,6E153_25
6E153_26,b,16.31587534671235,travel
6E153_26,b,16.31587534671235,travel
6E153_25,w,0.0,6E153_24
6E153_25,w,0.0,6E153_24
6E153_25,b,17.155601303825698,travel
6E153_25,b,16.852039096730703,travel
6E153_24,w,0.0,6E153_23
6E153_24,w,0.0,6E153_23
6E153_24,b,16.852039096730703,travel
6E153_24,b,15.482272797646695,travel
6E153_23,w,0.0,6E153_22
6E153_23,w,0.0,6E153_22
6E153_23,b,17.155601303825698,travel
6E153_23,b,16.852039096730703,travel
6E153_22,w,0.0,6E153_21
6E153_22,w,0.0,6E153_21
6E153_22,b,17.155601303825698,travel
6E153_22,b,16.852039096730703,travel
6E153_21,w,0.0,6E153_20
6E153_21,w,0.0,6E153_20
6E153_21,b,17.155601303825698,travel
6E153_21,b,16.002560409665545,travel
6E153_20,w,0.0,6E153_19
6E153_20,w,0.0,6E153_19
6E153_20,b,17.155601303825698,travel
6E153_20,b,16.852039096730703,travel
6E153_19,w,0.0,6E153_18
6E153_19,w,0.0,6E153_18
6E153_19,b,17.155601303825698,travel
6E153_19,b,16.852039096730703,travel
6E153_18,w,0.0,6E153_17
6E153_18,w,0.0,6E153_17
6E153_18,b,20.521239482864765,travel
6E153_18,b,16.414970453053183,travel
6E153_17,w,0.0,6E153_16
6E153_17,w,0.0,6E153_16
6E153_17,b,20.911752404851526,travel
6E153_17,b,20.911752404851526,travel
6E153_16,w,0.0,6E153_15
6E153_16,w,0.0,6E153_15
6E153_16,b,20.911752404851526,travel
6E153_16,b,20.911752404851526,travel
6E153_15,w,0.0,6E153_14
6E153_15,w,0.0,6E153_14
6E153_15,b,20.911752404851526,travel
6E153_15,b,20.911752404851526,travel
6E153_14,w,0.0,6E153_13
6E153_14,w,0.0,6E153_13
6E153_14,b,21.537798836958864,travel
6E153_14,b,20.911752404851526,travel
6E153_13,w,0.0,6E153_12
6E153_13,w,0.0,6E153_12
6E153_13,b,16.753224995811692,travel
6E153_13,b,15.63966218329684,travel
6E153_12,w,0.0,6E153_11
6E153_12,b,19.07304978065993,travel
6E153_11,w,0.0,6E153_10
6E153_11,b,20.521239482864765,travel
6E153_10,w,0.0,6E153_9
6E153_10,b,19.331142470520007,travel
6E153_9,w,0.0,6E153_8
6E153_9,b,20.521239482864765,travel
6E153_7,w,0.0,6E153_6
6E153_7,b,20.521239482864765,travel
6E153_6,w,0.0,6E153_5
6E153_6,b,18.040772145047807,travel
6E153_4,w,0.0,6E153_3
6E153_4,b,15.190642564180465,travel
6E153_2,w,0.0,6E153_1
6E153_2,b,7.947230390209012,travel
6E153_0,b,10.870746820306556,travel
